,0
overall,54.43/1820.32
visual_recognition,74.01/1850.19
localization,46.15/1865.30
ocr,51.67/1715.64
counting,41.43/1720.06
hallucination,58.75/1841.00
image_retrieval,31.43/1692.51
threed,47.50/1474.63
visual_captioning,74.21/1728.89
visual_grounding,53.85/1801.24
doc_understanding,54.03/1872.17
action_recognition,54.00/1828.76
pixel_level_perception,36.84/1845.83
image-to-image_translation,25.00/1625.54
relation_reasoning,67.50/1895.34
intelligence_quotient_test,0.00/1630.87
emotion,58.33/2031.90
visual_illusion,51.90/1811.62
meme_understanding,52.50/1408.52
visual_prompt_understanding,64.10/1687.90
anomaly_detection,59.00/1994.84
keypoint_detection,29.21/1908.04
visual_commonsense_reasoning,75.00/1801.19
image_evaluation_judgement,40.00/1739.73
multiple_image_analysis,50.00/1808.04
cross_image_matching,55.00/1811.45
temporal_understanding,29.29/1530.32
visual_code,31.67/1797.01
medical_understanding,72.00/2161.77
autonomous_driving,47.00/1886.23
discipline_knowledge_reasoning,38.46/1659.84
embodied_ai,85.00/2253.72
gui_navigation,40.00/1862.07
