,0
AI2D_TEST/solarSystem,86.11/77.78/1746.12
MMBench_DEV_CN/image_style,91.04/92.45/1762.05
MMStar/coarse perception,64.00/62.00/1768.97
Q-Bench1_VAL/type_1_concern_0,55.33/57.33/1933.37
MMStar/instance reasoning,64.40/58.00/1860.86
A-Bench_VAL/part1 -> bag_of_words -> attribute,93.64/91.82/1745.45
Q-Bench1_VAL/type_2_concern_1,68.28/68.28/1929.45
MMBench_DEV_CN/physical_relation,55.32/57.45/1878.36
MMSci_DEV_MCQ/Biological sciences,33.03/32.69/1512.11
MMBench_DEV_CN/image_topic,97.14/92.86/1784.55
MMBench_DEV_CN/attribute_recognition,90.53/87.12/2014.56
VisOnlyQA-VLMEvalKit/3d__angle,22.00/28.00/2295.16
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> cubism,100.00/100.00/1241.20
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> abstract,100.00/100.00/1436.02
AI2D_TEST/rockStrata,68.29/65.85/1572.26
WorldMedQA-V/japan,38.10/33.33/1938.63
A-Bench_VAL/part1 -> bag_of_words -> composition -> occlusion,60.00/60.00/1690.55
OCRBench/Regular Text Recognition,0.00/0.00/2048.33
MMBench_DEV_CN/object_localization,67.94/65.71/1837.63
MMBench_DEV_CN/structuralized_imagetext_understanding,67.02/64.89/1826.99
TaskMeAnything_v1_imageqa_random/random_3d_where_attribute,38.67/38.33/2189.51
MMBench_DEV_EN_V11/image_scene,91.10/92.41/1774.23
VisOnlyQA-VLMEvalKit/geometry__diameter_radius,48.00/46.00/1841.20
CV-Bench-3D/Distance,50.67/58.17/1862.74
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> weather,92.31/92.31/1880.79
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_distance,60.33/61.00/2305.47
StaticEmbodiedBench/Phased Reasoning,30.00/36.43/1932.73
TaskMeAnything_v1_imageqa_random/random_2d_where_attribute,37.67/38.67/2175.94
VisOnlyQA-VLMEvalKit/geometry__quadrilateral,46.00/46.00/1855.09
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> vehicle,100.00/89.47/1659.75
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> fauvism,100.00/50.00/1318.29
MMBench_DEV_EN_V11/action_recognition,92.28/89.07/1802.54
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> victorian,100.00/0.00/1262.83
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_size,75.33/74.33/2220.44
OCRBench/Key Information Extraction,0.00/0.00/1585.32
