,0
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> futurism,100.00/66.67/1668.11
MMBench_DEV_EN/attribute_comparison,88.65/78.01/1553.40
A-Bench_VAL/part1 -> basic_recognition -> major,92.35/95.08/1695.44
CCBench/calligraphy_painting,59.21/54.39/1895.49
WorldMedQA-V/spain-en,42.40/43.20/1510.30
StaticEmbodiedBench/Macro Planning,66.67/73.33/1988.83
TaskMeAnything_v1_imageqa_random/random_2d_where_attribute,37.67/41.67/1334.88
MMBench_DEV_EN_V11/image_topic,95.34/94.07/1742.50
Q-Bench1_VAL/type_0_concern_2,62.39/69.23/1839.95
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_distance,60.33/63.33/1813.98
OCRBench/Regular Text Recognition,0.00/0.00/1791.78
MMBench_DEV_EN_V11/attribute_recognition,95.41/92.20/1686.49
"POPE/adversarial,popular",0.00/0.00/1754.08
TaskMeAnything_v1_imageqa_random/random_3d_what_distance,46.33/49.33/1841.60
MMBench_DEV_EN/social_relation,94.77/90.70/1695.94
MMBench_DEV_EN/celebrity_recognition,92.93/91.92/1751.39
"POPE/random,popular",0.00/0.00/1713.32
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> sports,68.18/63.64/1702.13
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> pop,100.00/100.00/1318.72
StaticEmbodiedBench/Micro Perception,66.67/66.67/1865.38
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> geography,90.48/76.19/1666.12
MMBench_DEV_EN_V11/image_emotion,92.92/90.42/1718.61
MMBench_DEV_CN/identity_reasoning,98.86/98.30/1552.47
MMBench_DEV_EN_V11/image_quality,42.91/43.64/1629.54
Q-Bench1_VAL/type_1_concern_3,78.89/80.00/1734.29
MMBench_DEV_EN/attribute_recognition,93.18/90.53/1706.17
VisOnlyQA-VLMEvalKit/geometry__triangle,54.00/48.00/1261.21
MMBench_DEV_EN/function_reasoning,90.46/89.47/1756.04
AI2D_TEST/moonPhaseEquinox,57.76/55.96/1335.24
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> fauvism,100.00/100.00/1349.95
A-Bench_VAL/part1 -> bag_of_words -> counting,71.43/79.59/1692.52
AI2D_TEST/photosynthesisRespiration,65.82/62.03/1333.34
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> deco,100.00/100.00/1468.55
CCBench/historical_figure,63.57/47.86/1728.57
MMSci_DEV_MCQ/Health sciences,33.64/32.42/1288.44
A-Bench_VAL/part1 -> bag_of_words -> noun_as_adjective,83.72/83.72/1737.93
MMStar/instance reasoning,64.40/58.00/1581.67
AesBench_VAL/AesP,75.83/80.00/1734.65
MMBench_DEV_CN/spatial_relationship,44.63/40.68/1548.19
Q-Bench1_VAL/type_2_concern_2,58.62/65.52/1869.28
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> science,87.50/87.50/1697.98
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> food,90.91/90.91/1776.40
MMBench_DEV_EN_V11/action_recognition,92.28/87.78/1769.91
MMStar/math,37.60/32.40/1290.26
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_size,75.33/75.33/1818.50
Q-Bench1_VAL/type_0_concern_1,65.14/66.86/1801.29
CCBench/sketch_reasoning,75.56/80.56/1623.83
AI2D_TEST/rockCycle,59.70/58.21/1219.63
MMBench_DEV_EN/image_quality,51.33/55.33/1560.06
OCRBench/Key Information Extraction,0.00/0.00/1272.02
MMBench_DEV_CN/image_topic,97.14/92.14/1696.20
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> psychedelic,100.00/100.00/1300.11
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> cubism,100.00/0.00/1292.24
TaskMeAnything_v1_imageqa_random/random_2d_what_attribute,58.67/67.00/1334.25
VisOnlyQA-VLMEvalKit/syntheticgeometry__area,18.00/20.00/1303.57
POPE/random,0.00/0.00/1753.11
MMBench_DEV_EN/identity_reasoning,98.86/98.30/1549.95
MMBench_DEV_EN_V11/celebrity_recognition,93.69/92.93/1749.36
MMBench_DEV_EN_V11/social_relation,93.93/87.85/1674.02
TaskMeAnything_v1_imageqa_random/random_3d_where_distance,33.33/41.33/1835.15
SpatialEval/spatialgrid,45.67/41.20/1544.35
MMBench_DEV_EN/physical_relation,52.13/61.70/1558.23
VisOnlyQA-VLMEvalKit/charts__intersection,40.00/40.00/1260.98
TaskMeAnything_v1_imageqa_random/random_3d_where_size,38.67/43.67/1807.43
