,0
MMBench_DEV_CN/image_emotion,89.50/89.50/1167.59
Q-Bench1_VAL/type_1_concern_2,71.00/67.00/1233.42
MMStar/coarse perception,64.00/63.60/1164.59
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_size,75.33/75.00/1018.10
A-Bench_VAL/part1 -> bag_of_words -> counting,71.43/67.35/1291.00
VisOnlyQA-VLMEvalKit/geometry__area,26.00/28.00/668.44
VStarBench/direct_attributes,51.30/40.00/1298.51
Q-Bench1_VAL/type_0_concern_1,65.14/72.00/1232.44
A-Bench_VAL/part1 -> bag_of_words -> composition -> arrangement,86.67/86.67/1276.16
MMBench_DEV_EN_V11/function_reasoning,94.47/92.34/1064.83
WorldMedQA-V/japan,38.10/42.86/898.84
AI2D_TEST/waterCNPCycle,52.27/47.73/789.30
MMStar/science & technology,30.00/28.80/724.22
AesBench_VAL/AesE,60.83/56.67/1282.79
TaskMeAnything_v1_imageqa_random/random_3d_how_many,61.00/64.67/1003.42
A-OKVQA/ALL,85.15/82.53/1253.69
MMBench_DEV_CN/object_localization,67.94/70.48/1207.78
MMBench_DEV_CN/social_relation,95.35/95.93/1149.46
MMBench_DEV_EN_V11/spatial_relationship,60.10/58.03/986.48
TaskMeAnything_v1_imageqa_random/random_sg_what_relation,80.33/82.33/1252.22
VisOnlyQA-VLMEvalKit/geometry__length,20.00/16.00/653.60
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute_distance,60.33/58.33/987.60
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> minimalism,50.00/100.00/1037.52
AI2D_TEST/foodChainsWebs,86.92/85.28/663.16
Q-Bench1_VAL/type_2_concern_2,58.62/60.92/1254.77
Q-Bench1_VAL/type_1_concern_0,55.33/58.67/1215.00
MMBench_DEV_CN/image_quality,44.67/49.33/1077.76
AI2D_TEST/eclipses,90.32/83.87/729.30
MMBench_DEV_EN_V11/attribute_recognition,95.41/94.04/1131.20
MMBench_DEV_EN/action_recognition,94.42/92.09/1200.56
SpatialEval/spatialmap,45.87/42.27/627.31
StaticEmbodiedBench/Macro Planning,66.67/86.67/1345.13
CCBench/sketch_reasoning,75.56/81.67/810.77
MMBench_DEV_EN/attribute_recognition,93.18/93.94/1141.39
MMBench_DEV_CN/image_style,91.04/87.74/1201.35
Q-Bench1_VAL/type_1_concern_3,78.89/82.22/1224.97
MMStar/logical reasoning,45.20/40.40/975.98
MMBench_DEV_EN/future_prediction,56.15/57.69/1258.85
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> geography,90.48/80.95/1233.70
MMBench_DEV_CN/future_prediction,66.92/59.23/1257.31
WorldMedQA-V/brazil-en,20.22/31.46/904.80
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> cubism,100.00/100.00/1050.19
MMBench_DEV_EN_V11/nature_relation,84.06/78.74/1116.97
MMBench_DEV_EN_V11/image_style,88.31/85.48/1193.42
A-Bench_VAL/part1 -> basic_recognition -> major,92.35/94.54/1259.97
MMBench_DEV_EN_V11/ocr,87.50/85.83/958.02
A-Bench_VAL/part2 -> generative,58.40/62.80/1219.46
MMBench_DEV_CN/nature_relation,85.47/77.09/1082.38
WorldMedQA-V/spain-en,42.40/40.80/906.62
WorldMedQA-V/brazil,20.22/31.46/934.72
MMBench_DEV_EN_V11/celebrity_recognition,93.69/93.43/1180.90
WorldMedQA-V/israel-en,30.65/33.87/906.94
MMBench_DEV_EN_V11/attribute_comparison,86.50/81.60/918.22
MMBench_DEV_EN_V11/future_prediction,67.23/68.93/1157.66
MMBench_DEV_CN/attribute_recognition,90.53/92.80/1145.30
MMBench_DEV_CN/identity_reasoning,98.86/98.30/877.83
A-Bench_VAL/part2 -> technical,71.81/59.85/1184.35
MMBench_DEV_EN_V11/action_recognition,92.28/85.53/1224.55
MMBench_DEV_EN/physical_property_reasoning,66.67/79.91/1022.80
AI2D_TEST/solarSystem,86.11/83.33/764.49
Q-Bench1_VAL/type_2_concern_1,68.28/67.59/1213.32
VisOnlyQA-VLMEvalKit/syntheticgeometry__quadrilateral,46.00/54.00/631.66
"POPE/adversarial,random,popular",0.00/0.00/1253.66
