,0
overall,56.32
visual_recognition,76.29
localization,42.01
ocr,58.33
counting,40.71
hallucination,61.25
image_retrieval,30.00
threed,40.00
visual_captioning,75.47
visual_grounding,43.59
doc_understanding,58.06
action_recognition,51.00
pixel_level_perception,42.11
image-to-image_translation,22.50
relation_reasoning,67.50
intelligence_quotient_test,15.00
emotion,53.33
visual_illusion,59.49
meme_understanding,72.50
visual_prompt_understanding,61.54
anomaly_detection,55.00
keypoint_detection,44.94
visual_commonsense_reasoning,75.00
image_evaluation_judgement,52.50
multiple_image_analysis,42.50
cross_image_matching,68.33
temporal_understanding,37.37
visual_code,43.33
medical_understanding,70.00
autonomous_driving,49.00
discipline_knowledge_reasoning,42.31
embodied_ai,80.00
gui_navigation,38.75
