,0
overall,53.73/43.01
visual_recognition,75.23/44.99
localization,50.30/37.14
ocr,61.67/34.21
counting,39.29/38.80
hallucination,57.50/53.42
image_retrieval,20.71/33.41
threed,50.00/54.03
visual_captioning,73.58/42.73
visual_grounding,43.59/46.31
doc_understanding,49.19/72.80
action_recognition,51.00/33.29
pixel_level_perception,38.60/46.49
image-to-image_translation,30.00/29.61
relation_reasoning,61.25/46.54
intelligence_quotient_test,20.00/45.56
emotion,49.17/52.81
visual_illusion,50.63/44.76
meme_understanding,60.00/35.30
visual_prompt_understanding,53.85/48.88
anomaly_detection,50.00/36.23
keypoint_detection,35.96/52.69
visual_commonsense_reasoning,85.00/38.13
image_evaluation_judgement,47.50/33.48
multiple_image_analysis,42.50/32.57
cross_image_matching,56.67/31.61
temporal_understanding,30.30/30.81
visual_code,40.00/47.99
medical_understanding,73.00/32.20
autonomous_driving,44.00/36.86
discipline_knowledge_reasoning,33.33/50.65
embodied_ai,80.00/32.29
gui_navigation,40.00/46.10
