,0
overall,55.87
visual_recognition,76.90
localization,45.56
ocr,63.33
counting,42.86
hallucination,67.50
image_retrieval,29.29
threed,42.50
visual_captioning,69.18
visual_grounding,43.59
doc_understanding,60.48
action_recognition,54.00
pixel_level_perception,44.74
image-to-image_translation,22.50
relation_reasoning,67.50
intelligence_quotient_test,15.00
emotion,52.50
visual_illusion,53.16
meme_understanding,70.00
visual_prompt_understanding,48.72
anomaly_detection,55.00
keypoint_detection,41.57
visual_commonsense_reasoning,75.00
image_evaluation_judgement,45.00
multiple_image_analysis,40.00
cross_image_matching,56.67
temporal_understanding,33.33
visual_code,43.33
medical_understanding,67.00
autonomous_driving,52.00
discipline_knowledge_reasoning,41.03
embodied_ai,85.00
gui_navigation,33.75
