,0
overall,55.29/1633.86
visual_recognition,75.53/1691.02
localization,45.56/1755.96
ocr,55.00/1452.69
counting,46.43/1648.20
hallucination,68.75/1738.87
image_retrieval,23.57/1384.32
threed,52.50/1318.67
visual_captioning,76.10/1693.54
visual_grounding,48.72/1740.43
doc_understanding,54.03/1301.41
action_recognition,49.00/1682.32
pixel_level_perception,37.72/1793.34
image-to-image_translation,17.50/1472.64
relation_reasoning,70.00/1829.03
intelligence_quotient_test,15.00/1102.88
emotion,55.83/1864.57
visual_illusion,53.16/1380.77
meme_understanding,57.50/1385.23
visual_prompt_understanding,51.28/1635.65
anomaly_detection,60.00/1924.36
keypoint_detection,31.46/1778.61
visual_commonsense_reasoning,65.00/1770.09
image_evaluation_judgement,40.00/1686.05
multiple_image_analysis,50.00/1506.97
cross_image_matching,53.33/1552.88
temporal_understanding,29.29/1451.75
visual_code,50.00/1207.19
medical_understanding,68.00/1958.36
autonomous_driving,51.00/1809.44
discipline_knowledge_reasoning,37.18/1288.60
embodied_ai,80.00/2036.83
gui_navigation,48.75/1304.08
